hgnc_symbol	log2FoldChange	pvalue	padj	ensembl_gene_id_version	chromosome_name	start_position	end_position	strand
CASQ2	-1.27268097608599	1.29936506948923e-08	4.9478071033714e-08	ENSG00000118729.12	1	115700021	115768714	-
ABCG2	-2.82557207819492	1.21285289864274e-77	9.61537027278502e-75	ENSG00000118777.12	4	88090150	88231628	-
PCDH17	1.14157207044124	9.73435595297471e-05	0.000220631138090752	ENSG00000118946.12	13	57631744	57729311	+
CCND2	-1.15892590863081	7.07628806875451e-15	5.55468653327848e-14	ENSG00000118971.9	12	4269771	4305353	+
ECRG4	-1.18359532503179	1.98376767740531e-11	1.08524780096031e-10	ENSG00000119147.10	2	106063246	106078155	+
TRIM67	1.16393805809877	3.42420372762843e-12	1.95416318241773e-11	ENSG00000119283.16	1	231162058	231221565	+
SLC46A2	-4.0711257493368	4.68776650921983e-51	1.05588403283268e-48	ENSG00000119457.8	9	112878920	112890876	-
NR4A3	-1.19730309220182	7.86611335466215e-07	2.28781647986036e-06	ENSG00000119508.18	9	99821855	99866891	+
ONECUT2	2.60609817935702	9.48240478617113e-46	1.92230398745827e-43	ENSG00000119547.6	18	57435374	57491298	+
PGF	-1.41769895223093	2.91014341369551e-18	3.64813745672722e-17	ENSG00000119630.14	14	74941834	74955626	-
TGFB3	-1.12551619404703	2.14747372903273e-11	1.15413508867128e-10	ENSG00000119699.8	14	75958097	75983011	-
GPR75	-1.00517369850324	8.14390927759851e-14	5.65709897597415e-13	ENSG00000119737.6	2	53852912	53859967	-
EPCAM	1.09445033428528	6.02147097774948e-26	2.03996284093787e-24	ENSG00000119888.11	2	47345158	47387601	+
NKX2-3	4.27256216540967	3.15686336962409e-69	1.76525096561231e-66	ENSG00000119919.12	10	99532942	99536524	+
PPP1R3C	-1.64618497163497	5.95431402778701e-27	2.36726576544456e-25	ENSG00000119938.9	10	91628442	91633071	-
AVPI1	-1.15082469890947	4.02842161387463e-20	6.88457334788814e-19	ENSG00000119986.7	10	97677424	97687241	-
CPN1	4.50772940393871	7.91677228910098e-06	1.95820719080452e-05	ENSG00000120054.12	10	100042193	100081869	-
C10orf95	2.25621009056579	1.57370065590995e-08	5.541880171378e-08	ENSG00000120055.7	10	102449837	102451543	-
SFRP5	-2.71960194459782	5.86453910423809e-17	6.23374133263408e-16	ENSG00000120057.5	10	97766751	97771999	-
HOXB8	-6.27316054285117	5.62435915266658e-120	1.4935233014801e-116	ENSG00000120068.7	17	48611377	48615292	-
HOXB5	-3.47578227691826	4.15540557422008e-32	2.59181055664383e-30	ENSG00000120075.6	17	48591257	48593779	-
HOXB3	-1.66691771949668	6.76760573396983e-22	1.39633494213435e-20	ENSG00000120093.12	17	48548870	48604912	-
PCDHB8	1.79710614284601	8.26591232632942e-11	3.94961533305043e-10	ENSG00000120322.4	5	141177790	141180539	+
SLC25A2	1.45887204191532	1.63224778110438e-10	6.01996717135892e-10	ENSG00000120329.7	5	141302635	141304049	-
TNN	2.24017589011594	1.46675275856516e-20	2.51684097870302e-19	ENSG00000120332.17	1	175067833	175148075	+
KCNJ5	-3.12882096931107	3.59948685173094e-77	2.46958007819121e-74	ENSG00000120457.12	11	128891356	128921163	+
TP53AIP1	-1.41575182720952	8.80481302589921e-16	7.84926368572343e-15	ENSG00000120471.16	11	128934731	128943399	-
LYZL1	-1.91395773827547	4.16390104527903e-05	0.000414428949690583	ENSG00000120563.10	10	29289061	29318328	+
IQSEC3	-1.37249960837117	1.38447323722662e-14	1.04857206783147e-13	ENSG00000120645.12	12	66767	178455	+
TNFSF11	-2.09604327201523	1.76428836815474e-17	1.93903112862927e-16	ENSG00000120659.15	13	42562736	42608013	+
DNAJC15	-1.2808892211826	6.8194649012313e-16	6.7489460428444e-15	ENSG00000120675.6	13	43023203	43114213	+
DUSP4	-1.7534759406697	1.48280317748694e-19	2.22480293565169e-18	ENSG00000120875.9	8	29333064	29350684	-
CLU	-2.55360091784585	2.1630851969425e-56	6.18642305803045e-54	ENSG00000120885.22	8	27596917	27614700	-
ADRA1A	-2.00500324574272	2.08119182830931e-22	4.65670318426994e-21	ENSG00000120907.18	8	26748150	26867278	-
TBX2	-1.39151327773667	7.67448292728024e-24	2.08305257037503e-22	ENSG00000121068.14	17	61399843	61409466	+
TBX4	-2.1263131416437	5.68551627292311e-13	3.73740230457689e-12	ENSG00000121075.11	17	61452404	61485110	+
NCAPH	1.37054366334597	1.20781115024161e-16	1.20298252403443e-15	ENSG00000121152.10	2	96335766	96377091	+
TRIM6	-1.20493609776027	1.71589610746389e-21	3.30859541078403e-20	ENSG00000121236.21	11	5596109	5612958	+
ABCC11	1.15192324363361	2.27157520858155e-05	5.98045521885684e-05	ENSG00000121270.16	16	48165773	48247568	-
PLBD1	-1.44751123537394	3.73006907135218e-33	2.59915858383839e-31	ENSG00000121316.11	12	14503661	14567883	-
IAPP	3.18910801139788	6.92343036377094e-12	3.78914597141293e-11	ENSG00000121351.8	12	21354959	21379980	+
KCNJ8	-1.11937820114737	9.07435813218236e-17	9.15565720922029e-16	ENSG00000121361.5	12	21764955	21775600	-
POPDC2	-1.35235217621377	2.98851617471929e-20	4.91650533211065e-19	ENSG00000121577.14	3	119636457	119665324	-
PILRB	1.29163379960418	2.75026190204741e-11	1.46356651411516e-10	ENSG00000121716.21	7	100352176	100367831	+
GJA3	1.94681071172273	5.60426910291357e-14	4.13221711751728e-13	ENSG00000121743.4	13	20138255	20161052	-
SLITRK3	-2.30533614987298	3.82603333624683e-18	4.72566317765962e-17	ENSG00000121871.4	3	165186720	165197109	-
PAEP	-9.89890284986939	7.36987624896004e-61	2.57778023202065e-58	ENSG00000122133.17	9	135561756	135566955	+
OBP2A	1.15317629069488	0.0301331629503709	0.0351641797902375	ENSG00000122136.14	9	135546126	135549969	+
TBX22	-1.49663268716942	4.01852755770612e-07	1.1943494255557e-06	ENSG00000122145.15	X	80014753	80031774	+
LDB3	-1.61725733053302	7.05665182523199e-14	5.03937162351787e-13	ENSG00000122367.21	10	86666785	86736072	+
NXPH1	2.69876835754122	6.67256496631263e-08	2.22927889962477e-07	ENSG00000122584.13	7	8433609	8752961	+
HOXA7	-1.16152770515664	3.72873422689674e-15	3.16058599941967e-14	ENSG00000122592.8	7	27153716	27157936	-
TWIST1	2.10953505126777	7.97481006498486e-26	2.71523268506172e-24	ENSG00000122691.13	7	19020991	19117636	-
DNAI1	1.5749096908518	6.97295683651557e-07	2.05359724371426e-06	ENSG00000122735.16	9	34457414	34520988	+
CNTFR	-1.73554713941728	2.07206028344511e-19	3.03456505992388e-18	ENSG00000122756.15	9	34551432	34590140	-
CALD1	-1.28363236879723	1.07483271568796e-30	6.09527675652547e-29	ENSG00000122786.20	7	134744252	134970729	+
AKR1D1	1.49165640506889	2.11137056401932e-09	8.50512949600135e-09	ENSG00000122787.15	7	138002324	138118305	+
NUDT10	-1.30952015229748	1.87378791780628e-16	1.918970989901e-15	ENSG00000122824.11	X	51332231	51337525	+
CHST3	-1.12042605057342	1.17919003667049e-19	1.83154180742354e-18	ENSG00000122863.6	10	71964395	72013558	+
SSPN	-1.01206391850098	9.26687705122139e-20	1.46202640859738e-18	ENSG00000123096.12	12	26121991	26299290	+
NECAB1	-1.71214121488279	2.40543680368518e-28	1.07883575701565e-26	ENSG00000123119.12	8	90791741	90959393	+
ITIH5	-1.19575039887807	7.45852418744684e-19	1.02176824671998e-17	ENSG00000123243.15	10	7559270	7666998	-
HOXC13	3.08741765661222	5.91206145635038e-16	5.56038097413762e-15	ENSG00000123364.5	12	53938831	53946544	+
HOXC11	1.31089818197283	2.90249715216869e-05	6.84052078134679e-05	ENSG00000123388.4	12	53973126	53977643	+
HOXC12	4.60807676928227	2.74554086377855e-19	3.87954594640046e-18	ENSG00000123407.4	12	53954903	53958956	+
STIL	1.10902389064063	3.46644877236928e-25	1.092865851503e-23	ENSG00000123473.17	1	47250139	47314892	-
HJURP	1.99947217245842	9.90802045496394e-27	3.970451753606e-25	ENSG00000123485.12	2	233833416	233854566	-
COL10A1	2.38223484228388	5.02478705682411e-16	4.8662222720519e-15	ENSG00000123500.10	6	116118909	116158747	-
PLP1	-1.40621197488322	2.3221024086896e-09	9.65600785421233e-09	ENSG00000123560.14	X	103773718	103792619	+
RAB9B	-1.85577670621431	2.55285255722832e-37	2.77529382432868e-35	ENSG00000123570.4	X	103822327	103832257	-
NRK	-1.61029181049892	2.58251049392629e-15	2.23817554243809e-14	ENSG00000123572.17	X	105822539	105958610	+
G0S2	-2.28582433654345	1.05104448663779e-47	2.20395659912553e-45	ENSG00000123689.6	1	209675412	209676390	+
RAB38	-1.45173792817423	3.84349247039346e-24	1.00533968672194e-22	ENSG00000123892.12	11	88113251	88175443	-
INHA	1.09681780944912	3.40466628111756e-11	1.71932804809232e-10	ENSG00000123999.5	2	219569162	219575711	+
SLPI	-3.54640885488909	2.36904926264601e-37	2.66720570347028e-35	ENSG00000124107.5	20	45252239	45254564	-
KCNS1	-2.65801123001202	2.38516660404345e-28	1.1139678196725e-26	ENSG00000124134.9	20	45091214	45101127	-
SLC12A5	1.6761037057464	1.29182430526933e-16	1.29691000943499e-15	ENSG00000124140.15	20	46021690	46060150	+
SEMG2	-9.45647698966353	5.27827068244189e-58	1.63538403978502e-55	ENSG00000124157.7	20	45221373	45224458	+
MATN4	-2.20903177789186	1.61600869699143e-16	1.57180797253486e-15	ENSG00000124159.17	20	45293445	45308529	-
GTSF1L	1.58113180427444	0.00379696514730796	0.00519179577799338	ENSG00000124196.6	20	43726164	43727002	-
EDN3	-1.65510760540944	4.51280823274273e-11	2.31962105519236e-10	ENSG00000124205.18	20	59300443	59325992	+
PTGIS	-1.3098929845169	5.50188922323998e-17	5.90531816707888e-16	ENSG00000124212.6	20	49503874	49568137	-
SEMG1	-9.72865288987527	1.38779799111987e-52	3.42454564385697e-50	ENSG00000124233.12	20	45207033	45209768	+
C20orf85	1.73873561399507	0.000294778247261453	0.000595069979654084	ENSG00000124237.6	20	58150902	58161150	+
KCNK15	-1.01680915121386	9.99898035077125e-08	3.38178477860636e-07	ENSG00000124249.7	20	44745865	44752313	+
XG	-1.15897969153574	1.06625718018809e-07	3.47975134140615e-07	ENSG00000124343.14	X	2752040	2816500	+
IL17C	1.50249485545228	2.73224566086459e-08	7.65603779332875e-08	ENSG00000124391.5	16	88638572	88640468	+
POF1B	-1.06117366205899	8.95959638521992e-07	2.59233230461662e-06	ENSG00000124429.18	X	85277396	85379717	-
HIF3A	-1.54513710600565	9.75491744152559e-17	1.03530274614938e-15	ENSG00000124440.16	19	46297042	46343433	+
NDP	-1.49353346002246	4.28857228860563e-14	3.0721221902688e-13	ENSG00000124479.11	X	43948776	43973395	-
GRM4	1.23219782912754	9.82908592281383e-11	4.65644264407601e-10	ENSG00000124493.14	6	34018643	34155622	-
BTN1A1	-2.07789069068967	6.31599132506929e-18	5.84281873396947e-17	ENSG00000124557.14	6	26500303	26510425	+
RPS10	1.67374946196249	2.95212431515435e-29	1.44277180602724e-27	ENSG00000124614.16	6	34417454	34426069	-
OR2B6	2.08067508229172	8.45730851854407e-17	8.68373947383506e-16	ENSG00000124657.1	6	27957241	27958182	+
DNAH8	2.37627938037132	1.0298991839558e-15	9.29164546033705e-15	ENSG00000124721.18	6	38715311	39030792	+
COL21A1	-1.28677061194216	9.15785898342848e-21	1.55939092740713e-19	ENSG00000124749.17	6	56056590	56394094	-
CRISP1	-8.77251205306441	7.14594979819129e-64	2.83271783325271e-61	ENSG00000124812.15	6	49834257	49877096	-
RAB17	1.3614335242535	6.90465267052223e-34	5.23929233408245e-32	ENSG00000124839.13	2	237574322	237601614	-
CXCL6	-1.0024406249705	9.36474964806726e-07	2.79622624968385e-06	ENSG00000124875.10	4	73836640	73849064	+
SCGB2A1	-1.40820422695357	8.07076632097246e-13	4.99374084187825e-12	ENSG00000124939.6	11	62208673	62213943	+
DOK4	-1.11244560859579	3.26349371343605e-28	1.52172665874047e-26	ENSG00000125170.11	16	57471922	57487327	-
TMTC4	1.02199591190768	8.89293432246856e-25	2.61581697596902e-23	ENSG00000125247.16	13	100603625	100675093	-
ABCC4	1.65215076408754	1.58087259176939e-27	6.77187469007518e-26	ENSG00000125257.16	13	95019835	95301475	-
KIF25	1.41262397550962	3.36864809592582e-17	3.73387332168008e-16	ENSG00000125337.21	6	167996241	168045091	+
SRMS	1.59008997313263	1.61923629596485e-15	1.44441457759566e-14	ENSG00000125508.4	20	63538489	63547749	-
PAX8	-3.24293991201534	4.14414597010773e-41	5.97148480036909e-39	ENSG00000125618.18	2	113215997	113278921	-
TGM3	2.3356763180859	0.00364028035063839	0.00499472866150939	ENSG00000125780.12	20	2296001	2341079	+
PAX1	2.43135998744609	1.76812526306899e-31	1.02623818389247e-29	ENSG00000125813.14	20	21705659	21718481	+
FLRT3	-1.2589926926107	3.10677295734606e-11	1.68349227936232e-10	ENSG00000125848.10	20	14322985	14337614	-
PCSK2	-1.44151963281084	5.12093953941848e-09	1.97426760043304e-08	ENSG00000125851.10	20	17226107	17484578	+
OTOR	1.64243352763943	0.0179860121577521	0.0267096000276485	ENSG00000125879.5	20	16748358	16770062	+
BANF2	-1.44856188128509	3.09908404426925e-05	0.000310427716086191	ENSG00000125888.15	20	17693672	17735871	+
TMEM74B	-1.58525092608334	0.000818024740854279	0.00154791484412362	ENSG00000125895.6	20	1180561	1185415	-
DEFB129	-7.12130827456004	3.00615100166781e-25	9.40206808745158e-24	ENSG00000125903.4	20	227258	229886	+
ID1	-1.43071976402132	1.56986641738582e-13	1.07364291380268e-12	ENSG00000125968.9	20	31605283	31606515	+
FAM83C	-2.80207587659003	9.24630647713252e-17	9.61787837228677e-16	ENSG00000125998.8	20	35285731	35292425	-
GRPR	2.00433634881651	6.32728808560595e-14	4.59853524573185e-13	ENSG00000126010.6	X	16123565	16153518	+
AMOT	-1.64471303577905	2.53791701491705e-31	1.54277361907845e-29	ENSG00000126016.17	X	112774503	112840831	-
PROZ	1.30158674631101	7.2287562863584e-11	3.49347098539537e-10	ENSG00000126231.15	13	113158648	113172386	+
FFAR2	1.73249785352926	4.01026779148773e-21	7.19261004837628e-20	ENSG00000126262.5	19	35443907	35451767	+
IFI6	1.47963704896988	5.8220638447452e-11	2.97177804188174e-10	ENSG00000126709.16	1	27666064	27672212	-
DLGAP5	1.56397864338477	5.6950969843539e-18	6.93718997634715e-17	ENSG00000126787.13	14	55148112	55191608	-
PZP	1.13624362469287	0.0105553224913324	0.0169491480936413	ENSG00000126838.10	12	9148840	9208395	-
AIF1L	-1.62295785744611	6.81612361043806e-40	8.97161335801883e-38	ENSG00000126878.13	9	131096476	131123152	+
CTAG2	4.58234174004269	0.00115981567036524	0.00222228688375523	ENSG00000126890.14	X	154651972	154653579	-
ARMCX1	-1.21498936054784	3.90564667007984e-15	3.37559552213286e-14	ENSG00000126947.13	X	101550547	101554700	+
TMEM35A	-1.91066534795843	9.09435209089644e-24	2.52535978267689e-22	ENSG00000126950.8	X	101078879	101096367	+
RGS13	-1.15222032661835	7.29610242065918e-09	2.86544063034852e-08	ENSG00000127074.15	1	192636138	192660311	+
MASP1	-1.36508916736327	6.65746960672907e-13	4.15064757099032e-12	ENSG00000127241.18	3	187217282	187291980	-
ATP13A4	-4.55642131267537	3.96816754932699e-67	1.91312852314675e-64	ENSG00000127249.15	3	193398967	193593111	-
PLAAT1	-2.70755146113427	1.27742879013491e-14	9.88150193214764e-14	ENSG00000127252.7	3	193241128	193277738	+
CRYGN	-1.60985209562927	8.07133412474618e-07	2.43325462873509e-06	ENSG00000127377.10	7	151428832	151440813	-
FGFRL1	1.60619998336345	2.91507055465972e-34	2.393358210671e-32	ENSG00000127418.15	4	1009936	1026898	+
OR7C1	-1.76682077512027	1.24798084525365e-16	1.23302405292267e-15	ENSG00000127530.4	19	14789260	14835376	-
PKMYT1	1.37860144331631	4.01335006366362e-17	4.36920027035762e-16	ENSG00000127564.17	16	2968024	2980479	-
WFIKKN1	1.06684628784038	7.70065367500969e-11	3.71062483743454e-10	ENSG00000127578.7	16	629239	634117	+
CHTF18	1.27065042880073	3.77145459146163e-27	1.60524829781508e-25	ENSG00000127586.17	16	788046	800737	+
GNG13	2.67254859148382	1.57594905576119e-23	4.01288128033845e-22	ENSG00000127588.5	16	798041	800734	-
TUBA4A	-1.00228917201492	8.49943562437397e-15	6.92663931799061e-14	ENSG00000127824.15	2	219249710	219277902	-
VIL1	2.43377366560585	0.000589694719270167	0.0011809929242569	ENSG00000127831.11	2	218419121	218453295	+
GNG11	-1.03662368407571	4.25855349658076e-19	6.34881426892677e-18	ENSG00000127920.6	7	93921735	93928610	+
SGCE	-1.01857003401625	1.57500644509636e-18	2.17341560746148e-17	ENSG00000127990.19	7	94524204	94656572	-
LRFN1	1.53259317700216	2.41284327028212e-52	5.98063360084445e-50	ENSG00000128011.5	19	39306566	39320863	-
SPINK2	-7.41817213622544	1.02601563329203e-112	2.15288266303874e-109	ENSG00000128040.12	4	56809860	56821742	-
RASL11B	-1.91978015988136	1.32547797065379e-23	3.26220732605191e-22	ENSG00000128045.7	4	52862317	52866835	+
ADM2	1.25044080877929	5.23034993496303e-23	1.21666079472798e-21	ENSG00000128165.9	22	50481543	50486440	+
GNAZ	-1.79102420414747	4.03674875186319e-38	4.89995414258339e-36	ENSG00000128266.9	22	23070519	23125032	+
BAIAP2L2	2.16301357396897	1.0125138854844e-19	1.6409571103369e-18	ENSG00000128298.18	22	38084652	38111015	-
GALR3	1.84859591875279	5.75220412222376e-15	4.7322712181672e-14	ENSG00000128310.3	22	37823382	37825485	+
C22orf23	-1.30761313114507	6.61512860517242e-37	6.9470755620912e-35	ENSG00000128346.11	22	37943050	37953669	-
APOBEC3F	-1.07164287312699	6.40026191190318e-16	6.12293275728175e-15	ENSG00000128394.17	22	39040604	39055972	+
RNF112	-1.43070623079123	1.14737799555331e-13	8.0841735821266e-13	ENSG00000128482.16	17	19411125	19417276	+
VGF	2.07977525296913	1.00499357112491e-16	1.00886190996559e-15	ENSG00000128564.8	7	101162509	101165569	-
FOXP2	-1.26136617399004	2.03070072540754e-16	1.9527003102756e-15	ENSG00000128573.27	7	114086327	114693772	+
FLNC	-1.65623055006948	1.45097445501572e-19	2.19397968533953e-18	ENSG00000128591.16	7	128830406	128859274	+
IRF5	-1.38920975463912	5.45143683978695e-33	3.74018863566106e-31	ENSG00000128604.20	7	128937457	128950038	+
LRRC17	-1.19461432892767	5.13332863924744e-22	1.0372101562037e-20	ENSG00000128606.13	7	102913000	102945111	+
FEZF1	3.00468494078457	5.95825271164616e-16	5.50256226272424e-15	ENSG00000128610.12	7	122301303	122310691	-
HOXD3	-2.22568852212831	5.84747599673032e-35	5.04147704556879e-33	ENSG00000128652.12	2	176136612	176173102	+
GAD1	1.13641917390445	1.9672148080174e-11	1.01714205285154e-10	ENSG00000128683.14	2	170813213	170861151	+
HOXD11	-1.0990199255127	1.52449468067193e-08	5.76084364278296e-08	ENSG00000128713.14	2	176104216	176109754	+
HOXD13	-1.76804039279765	2.11732771296602e-21	4.11368192729212e-20	ENSG00000128714.6	2	176092721	176095944	+
TMOD2	-1.05489691146793	4.78108113840315e-27	2.00968598560724e-25	ENSG00000128872.10	15	51751597	51816363	+
ELL3	1.51908174221234	1.06017813889498e-20	1.81725990211287e-19	ENSG00000128886.12	15	43772605	43777315	-
ALDH1A2	-1.66107394779966	2.13535930758466e-26	7.91995513424619e-25	ENSG00000128918.15	15	57953424	58497866	-
ACKR4	-1.8272174824767	7.97750901849464e-24	2.03294267880342e-22	ENSG00000129048.7	3	132597270	132618967	+
PALLD	-1.4639579487364	1.79981132049312e-30	1.04265232824909e-28	ENSG00000129116.19	4	168497052	168928457	+
BBOX1	1.67103022884709	0.00891590254918552	0.0147674582096277	ENSG00000129151.9	11	27040725	27127809	+
SOX15	-1.38387331606612	2.48109077409147e-21	4.51029197388185e-20	ENSG00000129194.8	17	7588178	7590094	-
PIMREG	1.50315571456815	9.66650442019129e-19	1.24774982914139e-17	ENSG00000129195.16	17	6444441	6451469	+
CD68	1.32934513290615	2.34542453784605e-05	5.49804542398548e-05	ENSG00000129226.14	17	7579491	7582111	+
KLK14	2.10631398294634	2.5462996986596e-14	1.97884663535095e-13	ENSG00000129437.11	19	51077495	51084245	-
AJUBA	-1.15282758970059	2.99207959587417e-22	6.83472208566706e-21	ENSG00000129474.16	14	22971177	22982551	-
EGLN3	-1.09737051946028	7.48744231233378e-15	5.90250059834752e-14	ENSG00000129521.15	14	33924227	34462774	-
RNASE1	-1.18574380392025	1.83479968537733e-22	4.15108651962835e-21	ENSG00000129538.14	14	20801228	20802855	-
CDO1	-2.2462059905588	6.42945245341835e-21	1.18110842146945e-19	ENSG00000129596.5	5	115804733	115816659	-
QRICH2	1.03852725769241	5.72270340755086e-23	1.34155165117948e-21	ENSG00000129646.16	17	76274049	76308276	-
SGO1	1.21826721718384	1.05880294600928e-11	5.92272811950384e-11	ENSG00000129810.15	3	20160593	20186206	-
SHC2	1.06533684031746	3.7128292757396e-20	6.15364184676113e-19	ENSG00000129946.11	19	416589	461033	-
TNNI3	1.33323745436361	2.28361892357734e-05	5.36081570598916e-05	ENSG00000129991.13	19	55151767	55157773	-
PRRG3	-1.07002103694024	5.52959808570673e-08	1.86531317335313e-07	ENSG00000130032.17	X	151694607	151705924	+
STARD8	-1.22038193594997	1.30859283283355e-20	2.38704764188491e-19	ENSG00000130052.14	X	68647666	68725842	+
GDPD2	-2.81280805813159	1.56001635856757e-12	9.59880785989572e-12	ENSG00000130055.14	X	70423031	70433390	+
TSPAN16	1.1065621325359	1.48898495050408e-07	4.93235206521864e-07	ENSG00000130167.14	19	11296139	11326996	+
CNN1	-1.4236934533086	6.59926176736954e-17	6.7381771604189e-16	ENSG00000130176.8	19	11538767	11550323	+
APOE	1.66869364130644	1.78192987714621e-21	3.52806311702718e-20	ENSG00000130203.10	19	44905791	44909393	+
APOC1	2.38883452791463	1.49431734028574e-33	1.09246838892658e-31	ENSG00000130208.10	19	44914247	44919349	+
LRCH2	-1.29382925397799	6.76455887239061e-18	8.65549944199468e-17	ENSG00000130224.15	X	115110616	115234096	-
DPP6	-2.17826235659612	3.8305236208377e-16	3.55560389827372e-15	ENSG00000130226.17	7	153887097	154894285	+
ACE2	-2.96076845115404	7.17236233729123e-14	4.99158094402194e-13	ENSG00000130234.13	X	15494566	15607236	-
RPL36	1.04260528124355	5.10821926392878e-17	5.63115994839201e-16	ENSG00000130255.13	19	5674947	5691875	+
MAS1	-1.00834665443118	5.10996254451438e-06	1.32664490406879e-05	ENSG00000130368.7	6	159890988	159917447	+
STK33	-1.22321877764021	1.37582157163756e-17	1.53295838118856e-16	ENSG00000130413.16	11	8391868	8594289	-
UNC13A	1.18269624036563	0.000214423394616535	0.000443012512272923	ENSG00000130477.16	19	17601336	17688365	-
GDF15	1.82910420713833	7.7218804427362e-23	1.71173767259562e-21	ENSG00000130513.7	19	18374731	18389176	+
TRPM4	1.7295219280283	6.52665328126079e-39	7.62418816063472e-37	ENSG00000130529.16	19	49157741	49211836	+
SULT4A1	1.27191289195836	4.493751631665e-13	2.98964526859836e-12	ENSG00000130540.14	22	43824509	43862513	-
SAMD10	1.00193903805503	1.86234803246332e-31	1.14305801899829e-29	ENSG00000130590.14	20	63974116	63980008	-
CYP2E1	-1.93534550791661	1.04576847066721e-28	5.01232734568612e-27	ENSG00000130649.10	10	133520406	133561220	+
MNX1	1.2751163275535	3.17047013072805e-17	3.38833834002133e-16	ENSG00000130675.15	7	156994051	157010663	-
GATA5	-1.49727218453007	3.80415706925548e-12	2.15647519126817e-11	ENSG00000130700.7	20	62463497	62475995	-
ASS1	-1.20193078715303	1.32862015362784e-16	1.39512064896085e-15	ENSG00000130707.18	9	130444961	130501274	+
PRDM12	1.86085764884228	3.91560814561473e-19	5.34007490450398e-18	ENSG00000130711.5	9	130664594	130682986	+
METTL26	1.00494648492203	1.38272911942007e-16	1.42532776395058e-15	ENSG00000130731.16	16	634427	636366	-
SMPDL3B	1.64455495207159	5.62073438549187e-37	6.14628845494949e-35	ENSG00000130768.15	1	27935000	27959157	+
PNCK	-1.17833319433362	8.48246775680365e-13	5.26902665992595e-12	ENSG00000130822.16	X	153669733	153689010	-
NUTM2F	2.62115806564154	1.40797966525715e-17	1.59485691227389e-16	ENSG00000130950.15	9	94318198	94328644	-
FBP2	-2.97327009644889	3.05954963797471e-18	3.75209014182828e-17	ENSG00000130957.5	9	94558720	94593824	-
RGN	-1.230067019858	7.87681326657265e-18	9.07099654830804e-17	ENSG00000130988.13	X	47078355	47093314	+
POLN	1.27185426917872	4.91090884699858e-19	6.60011085258158e-18	ENSG00000130997.16	4	2071918	2242121	-
ULBP2	1.45187869839041	7.16908926193052e-10	3.06516644323423e-09	ENSG00000131015.5	6	149942014	149949235	+
BPIFA2	-1.15383273535278	0.0048891798725456	0.00808782975092916	ENSG00000131050.11	20	33161768	33181412	+
C1QL1	-1.76902611247367	3.13019324392759e-12	1.79947262294912e-11	ENSG00000131094.4	17	44959693	44968303	-
PYY	-2.29083462625633	9.74403065871752e-24	2.52535978267689e-22	ENSG00000131096.11	17	43952733	44004469	-
CCL25	1.86566130331124	1.82295839846551e-07	5.75586763021888e-07	ENSG00000131142.14	19	8052318	8062660	+
SLC34A1	-1.09130326926571	1.41363086138434e-07	4.42419779778584e-07	ENSG00000131183.11	5	177379235	177398848	+
F12	1.97390022399404	8.58466510785748e-27	3.124353046682e-25	ENSG00000131187.11	5	177402133	177416583	-
PRR7	1.85475223081185	1.24949874273209e-32	8.60219051102084e-31	ENSG00000131188.12	5	177446445	177456286	+
CDX4	-5.56310262322452	5.72211850413418e-16	4.13472893482438e-15	ENSG00000131264.4	X	73447053	73455171	+
AOC3	-1.07427544485528	1.97710120303167e-15	1.70858987172413e-14	ENSG00000131471.7	17	42851184	42858130	+
G6PC1	2.02899164955036	1.47246946265765e-05	3.50620829945006e-05	ENSG00000131482.10	17	42900797	42914438	+
ANO1	-2.84787004004895	4.01781959435364e-81	4.02351806516707e-78	ENSG00000131620.18	11	69985907	70189530	+
BARX1	2.34344257178016	1.3535698282736e-14	1.02560380774352e-13	ENSG00000131668.14	9	93951627	93955355	-
CA6	2.53889487110039	0.00964355869432245	0.0123142216559129	ENSG00000131686.15	1	8945867	8975092	+
MAP1B	-1.20422732263814	5.01770572844058e-16	4.89300793177587e-15	ENSG00000131711.15	5	72107234	72209565	+
TNS4	-1.52706035317893	9.68984709655506e-11	4.59299320373079e-10	ENSG00000131746.13	17	40475828	40501623	-
TOP2A	1.28387648480535	1.71871315583035e-12	1.07474479393315e-11	ENSG00000131747.15	17	40388525	40417896	-
CHD1L	1.08865238561632	3.03428376389254e-12	1.80384448274301e-11	ENSG00000131778.20	1	147242654	147295765	+
FSHB	1.05702936762474	0.000728371392371132	0.00136608045214348	ENSG00000131808.11	11	30231014	30235261	+
MCCC2	1.20532141581195	1.01615269470513e-13	7.14488836959484e-13	ENSG00000131844.17	5	71579531	71658706	+
ABHD12B	-1.07960979969611	7.08392654502081e-12	3.87973157830907e-11	ENSG00000131969.15	14	50872053	50904970	+
DNAJB1	-1.16863880811249	8.7209038412311e-20	1.32484616976598e-18	ENSG00000132002.9	19	14514769	14560391	-
SLC6A11	1.57442165165651	7.84367370428911e-18	9.08749303028054e-17	ENSG00000132164.10	3	10816201	10940714	+
NUP210	1.20750889065763	8.43062626234177e-37	8.80479364518414e-35	ENSG00000132182.13	3	13316235	13420322	-
IQCA1	-1.30570453453564	2.42521246636035e-18	3.10256704330273e-17	ENSG00000132321.17	2	236324147	236507535	-
RAMP1	1.08755175049557	3.01991851894879e-10	1.34931706922799e-09	ENSG00000132329.11	2	237858893	237912106	+
